message,intent
اهلا 😊,greeting
اهلا بكم,greeting
اهلا وسهلا بك,greeting
اهلا ومرحبا,greeting
اهلاا,greeting
اهلل,greeting
اهلين,greeting
ايه الاخبار,greeting
سلام عليكم,greeting
صباح الخير,greeting
صباح الخير 😊,greeting
عاملة ايه,greeting
كيف حالك,greeting
مرحبا,greeting
مرحباً,greeting
هاى,greeting
هاي,greeting
هلا,greeting
تسلم والله,thank
تسلمي,thank
تسلمي والله,thank
رائع جدًا .. شكرًا جزيلاً .,thank
شغل حلو,thank
شكرا,thank
شكراً,thank
شكرًا,thank
"شكرا
اللي بسأل عليه مش عندك شكرا لتعبك",thank
شكرًا .. شكرًا .,thank
شكرا ♥️,thank
شكرا جدا,thank
شكرا جزيلا بصراحة خدمة كويسه جدا,thank
شكرا على الإفادة والمجهود العظيم خالص تقديرى واحترامي لكم مع مزيد من النجاح,thank
شكرا لحضرتك,thank
شكرا لحضرتك وجزاكم الله خيرا,thank
شكرا لحضرتكم,thank
شكرا لذوقك,thank
انت مين,course recommendation
بتعمل ايه,about bot
ازاي تقدر تساعدني,about bot
عايز ابدأ اتعلم جرامر,course recommendation
عايز احل اسئلة,course recommendation
عايز اتعلم الحروف,course recommendation
عايز اتعلم كلمات جديده,course recommendation
عايز اقرا قصص,course recommendation
عايز اقرا كتب في التاريخ باللغه دي,course recommendation
عايز اقرا كتب في التاريخ باللغه دي,course recommendation
عايز احسن مستواياي في الجرامر,course recommendation
عايز ابدأ اتعلم جرامر,course recommendation
عايز اتعلم قواعد اللغه,course recommendation
عايز ابدأ اتعلم قواعد اللغه,course recommendation
"بحب اذاكر مع ناس من نفس المستوى, ممكن تضمني ليهم؟",peer grouping
ممكن تضمني لناس مستواهم زيي,peer grouping
محتاج ناس اتدرب معاهم,peer grouping
عايز اتمرن على نطقي مع حد,peer grouping
مبحبش اذاكر لوحدي,peer grouping
لا احب الدراسه وحدي,peer grouping
بحب اذاكر مع ناس,peer grouping
محتاج اتدرب على نطقي,course recommendation
عايز اخد الاختبار تاني,take exam
عايز اعرف مستوايا,take exam
عايزه اخد الاختبار تاني,take exam
عايزه اعرف مستوايا,take exam
عايز صحاب يشجعوني عالمذاكرة,peer grouping
عايزه صحاب يشجعوني عالمذاكرة,peer grouping
ممكن تساعدني احدد مستوايا؟,take exam
ازاي ممكن اعرف ان مستوايا بقى احسن؟,take exam
عندك كام سنة؟,about bot
بتعرف تعمل ايه؟,about bot
مين صحابك؟,about bot
عندك وقت فاضي؟,about bot
بتشتغل دايما؟,about bot
بتنام امتى؟,about bot
بتساعد كل الناس؟,about bot
رشحلي كورس,course recommendation
رشحلي كورس مناسب لمستوايا,course recommendation
"مش لاقي كورسات, ممكن تساعدني؟",course recommendation
عايز كورسات من غير فلوس عشان انا لسه طالب,course recommendation
ايه افضل الكورسات على udemy ,course recommendation
ايه افضل المواقع اللي بتدي كورسات مجانيه؟,course recommendation
محتاجه كورس للمبتدأين,course recommendation
محتاجه اراجع على معلوماتي واطورها,course recommendation
بتاخد كام؟,about bot
عايزه مقدمه سهله,course recommendation
عايز كورس قصير لاجازة نص السنة,course recommendation
عايز كورس فيه اساله كتير,course recommendation
عايز احل اساله,course recommendation
عايزه اسامي كتب احل منها,course recommendation
ازاي ممكن احل,course recommendation
عايزه اغاني تساعدني احفظ,course recommendation
محتاجه شرح حلو لقواعد اللغه,course recommendation
بتعلم كام لغه؟,about bot
تقدر تساعدني اتعلم انجليش في خلال 3 شهور,about bot
ممكن تديني اسالة تحديد مستوى,take exam
عايز اذاكر مع حد ,peer grouping
مش عايز اذاكر لوحدي,peer grouping
ممكن تدخلني جروب مع ناس شبهي,peer grouping
عايز ادخل جروب مع ناس في مستوايا,peer grouping
ساعدني اتعرف على ناس نذاكر مع بعض,peer grouping
عايز اتعرف على ناس بنفس مستوايا,peer grouping
محتاج مساعده ناس زيي,peer grouping
محتاج اتدرب مع حد على قواعد اللغه,peer grouping
بتعلم اللغه على كام مرحله,about bot
بتعرف تعلم الناس اللي عندهم مشاكل في التركيز؟,about bot
ممكن كورس مناسب لمستوايا,course recommendation
عايزه اتعلم  بدون ما تركيزي يتشتت ,course recommendation
ايه اول حاجه اعملها عشان ابدأ؟,take exam
ايه اول خطوة فى التطوير طيب؟,take exam
تحديد مستوايا هتعمله ازاى؟,take exam
عايزة امتحن عشان اعرف مستوايا؟,take exam
هتعرف مستوايا ازاى؟,take exam
عايزة اتابع تحسنى فى اللعه,take exam
عايزه امتحن عشان اتابع مستوايا,take exam
محتاج متابعه للمستوى,take exam
عرفنى مستوايا,take exam
حددلى مستوايا,take exam
ابعتلى الى هحدد مستوايا بيه,take exam
ابعتلى اسئله تحدد مستوايا,take exam
هات الاسئله الى هعرف بيها انا فين,take exam
طيب عايز اعرف مستوايا عشان اعرف هبدأ منين,take exam
اعمل ايه عشان اعرف مستوايا,take exam
ساعدنى احدد المستوى بتاعى,take exam
امتحنى عشان اعرف مستوايا,take exam
عايز امتحن,take exam
ممكن اخد امتحان تحديد المستوى؟,take exam
قيمني,take exam
ممكن كورس في قواعد اللغه,course recommendation
ممكن لينكات امتحانات,course recommendation
ممكن تجيبلي اساله اتمرن عليها,course recommendation
عايز اراجع على كل اللي ذاكرته,course recommendation
ايه الى بتقدمهولى,about bot
ايه الى هستفاده لما استخدمك,about bot
يا ترى هتفيدنى ازاى,about bot
اتكلم عن نفسك الاول,about bot
قولى مهمتك معايا,about bot
عايز تقييم مستوايا,take exam
حدد مستوايا,take exam
مستوايا ايه.,take exam
ممكن تمتحني؟,take exam
امتحنني,take exam
هتساعدنى ازاى فى طريقى ,about bot
يسعدنى اتعرف عليك,about bot
مين مبرمجك,about bot
مين عاملك؟,about bot
قولى حاجات عنك,about bot
ما تيجى ندردش عنك قبل ما  نبدأ,about bot
عايز اصاحب ناس ونذاكر مع بعض,peer grouping
المذاكرة مع صحاب ممكن يشجعني,peer grouping
عايز اعمل امتحان مسابقه بيني وبين زمايلي,peer grouping
عايزه اتدرب على عبارات التحيه مع حد,peer grouping
عايز اتدرب عاللي اتعلمته ,peer grouping
ممكن اتدرب على اللي اتعلمته مع مين؟,peer grouping
عامل ايه,greeting
اخبارك,greeting
ازيك الاول,greeting
اخبارك ايه,greeting
انت كويس؟,greeting
هاى ايه الاخبار,greeting
كيف حالك,greeting
ايه الاخبار,greeting
ازيك الاول,greeting
طمنى عليك,greeting
ميرسى جدا,thank
شكرا بجد,thank
مش عارف اشكرك ازاى,thank
مش عارف اقولك ايه,thank
شكرا انت ساعدتنى بجد,thank
ميرسى جدا,thank
انا ممتن ليك,thank
محتاج اعبرلك عن شكرى,thank
شكرا جدا,thank
"شكرا, هلجألك تاني",thank
مشكور تعبك,thank
انت احسن بوت في العالم,thank
اشكرك.,thank
شكرا.,thank
ميرسى اوى اوى,thank
بعبرلك عن امتنانى,thank
انت ساعدتنى كتير بجد شكرا,thank
اهلا وسهلا,greeting
تحياتي لك,greeting
"مساء النور, على احلى بوت",greeting
مساءو,greeting
اهلا اهلا,greeting
اعلي مستوايا ازاي؟,course recommendation
عايزه اتعلم اشهر العبارات ,course recommendation
عايزه برامج تلفزيون تساعدني لتعلم اللغه,course recommendation
عايزه podcasts اسمعها وانا في التمرين,course recommendation
عايزه اسمع podcasts,course recommendation
ممكن تساعدني ارفع مستوايا,course recommendation
انا عايز اشكرك بجد,thank
شكرا ع المساعده,thank
انت مش متخيل انت ساعدتنى قد ايه,thank
شكرا انا مبسوطه اوى,thank
انا استفدت منك  جدا,thank
انا كدا هستخدمك كتير,thank
انت جامد بجد اكيد هحتاجك تانى,thank
انت مفيد جدا,thank
انت اكتر حاجه مفيده شوفتها,thank
انا مبسوطه من مساعدتك,thank
انا بقيت احسن بسببك شكرا,thank
شكرا للغاية ,thank
نشكر لك مساعدتك بفيض من القلوب اللامتناهيه ,thank
مهما شكرتك مش هيكون كفايه,thank
مش عاؤفه اشكرك ازاي,thank
مستوايا بقى احسن كتير بعد مساعدتك,thank
هحتاجك كتير عشان انت عليتلى مستوايا,thank
انت مفيد اوى,thank
قبلاتي,thank
مش هنسى مساعدتك ليا,thank
شكرا انك ساعدتنى,thank
شكرا جزيلا,thank
"لقد ساعدتني, شكرا",thank
هقترحك لاصاحبى ,thank
ياهلا,greeting
هالووو,greeting
ياهلا بيك,greeting
هيلووووز ,greeting
هيلو ,greeting
ايه اخبارك,greeting
ازيك عامل ايه,greeting
فى البدايه كدا ازيك,greeting
قولى بس انت عامل ايه,greeting
ما تقولى اخبارك,greeting
اهلا بحضرتك,greeting
ازيك.,greeting
عامله ايه,greeting
ايه الاحوال,greeting
اتمنى انك تكون كويس,greeting
شو اخبارك,greeting
مرحبا بك ,greeting
عايز ادخل شات فيه ناس من مستوايا,peer grouping
عايز اذاكر مع جروب زيي,peer grouping
عايز ناس تذاكر معايا جرامر,peer grouping
عايز مجموعه تشجعنى,peer grouping
دخلنى مع ناس كويسه,peer grouping
ضمني للناس اللي في مستوايا,peer grouping
ضمني لغرفة دردشه مناسبه,peer grouping
محتاجه كورس فيه متابعه,course recommendation
محتاجه كورس بدون ديد لاين,course recommendation
عايزه اتعرف على اسماء البلاد,course recommendation
عايز اتدرب عالنطق,peer grouping
ضمني لناس بياخدوا نفس الكورس,peer grouping
هو في ناس من مستوايا اذاكر معاهم؟,peer grouping
عايز انضم لناس زيي,peer grouping
اتدرب عالقرائه مع مين؟,peer grouping
اتدرب ع نطقي مع مين؟,peer grouping
اتدرب على قواعد اللغه مع مين؟,peer grouping
عايز اتدرب على الكتابه بخط جميل مع صحاب,peer grouping
عايز اتدرب عالكلام بالعاميه مع ناس من مستوايا,peer grouping
عايز اتكلم مع حد باللغه دي,peer grouping
عايز اسال حد من مستوايا ازاي بيذاكر قواعد اللغه,peer grouping
ممكن تضمني لحد اتكلم معاه من مستوايا؟,peer grouping
انت مين؟,about bot
ايوة انت مين يعنى؟,about bot
اشرحلى مميزاتك,about bot
اشرحلى هتساعدنى ازاى,about bot
كلمنى كدا عنك..,about bot
ما تقولى طيب هتساعدنى بأيه,about bot
هستفاد منك ازاى؟,about bot
ايوه انت هتفيدنى بأيه يعنى؟,about bot
كلامى معاك هيفيدنى ولا مجرد تضيع وقت؟,about bot
هتساعدنى؟,about bot
طريقتك ايه عشان اطور نفسى,about bot
قولى معلومات كتير عنك,about bot
انا عايزه اعرف عنك اكتر,about bot
عايزه اتعرف عليك,about bot
عرفنى بيك,about bot
قولى امكانياتك,about bot
اشرحلى عنك,about bot
قولى مين عملك,about bot
قولى انت هتساعدنى ازاى يعنى,about bot
انت تقدر تساعدنى؟,about bot
تقدر تساعدنى اطور نفسى ازاى؟,about bot
هتساعدنى بجد اطور نفسى؟,about bot
تقدر تعملى ايه,about bot
تقدر تشجعني عالمذاكرة؟,about bot
هتعرف تساعدنى اذاكر اصلا؟,about bot
تقدر تحدد مستوايا بسهوله؟,about bot
بتمتحن كام مستوى؟,about bot
ممكن امتحن اكتر من مرة في اليوم؟,about bot
معنديش كلام كفايه اعبر بيه عن شكري ليك,thank
شكراااا,thank
يا جااامد,thank
انا ممتنه لك للغايه,thank
واالله ما عارفة اقولك ايه,thank
:),thank
جمايلك كترت ,thank
متشكرين,thank
مين برمجك,about bot
باس لغه تمت برمجتك,about bot
هل انت مبرمج بحب؟,about bot
هل تغضب اذا لم احرز تقدم جيد,about bot
هممم وهذاكر ازاى بقى,course recommendation
ايوة اعلى مستوايا ازاى يعنى,course recommendation
اطور نفسى بأيه؟,course recommendation
عايز حاجات تحسن مستوايا,course recommendation
هاتلى كتب تفيدنى,course recommendation
اقترح عليا حد كويس اتعلم منه,course recommendation
اقترحلى فيديوهات تساعدنى,course recommendation
ابعتلى تراك كويس امشى عليه,course recommendation
عايز اتعلم مصطلحات من مجالي,course recommendation
عايز اسمع كتب مسجله مناسبه لمستوايا,course recommendation
اديني كورس مناسب,course recommendation
باصيلى كورس,course recommendation
قولى على الحاجات الى هطور بيها نفسى,course recommendation
عايز اتدرب على قواعد اللغه ,course recommendation
عايز اتدرب على النطق الصحيح,course recommendation
عايز اتعلم عبارات قوية ,course recommendation
عايز كورس يطورنى طيب ,course recommendation
اشكرك جزيل الشكر,thank
نشكر تعبك,thank
"تمت عملية الانقاذ بنجاح,شكرا",thank
اشكرك من كل قلبي,thank
"انت واحد من اسباب سعادتي, شكرا",thank
ما تذاكر معايا؟,peer grouping
اريد صديق للطريق,peer grouping
بمل لو ذاكرت لوحدى هاتلى حد يشجعنى,peer grouping
انا بحب المشاركه هاتلى جروب,peer grouping
انت قولت ان ممكن تدخلنى مع ناس فى نفس المستوى دخلنى بقى,peer grouping
عايز شريك,peer grouping
عايز اذاكر مع حد,peer grouping
عايز حد يشاركني اهدافي نشجع بعض,peer grouping
هات الامتحان احدد مستوايا,take exam
بص عايز احدد مستوايا الاول,take exam
ما تورينى امتحانك كدا احدد المستوى بتاعى,take exam
عايز امتحن,take exam
امتحنني,take exam
ممكن احدد مستوايا؟,take exam
مستوايا ايه؟,take exam
ميرسى,thank
ثانك يو,thank
ثانكس بجد ,thank
ميرسي بجد,thank
ميرسي جدا,thank
ثانك يو انك ساعدتنى,thank
ثانكس يا بوت,thank
ميرسى على المساعدة,thank
ميرسيييى,thank
شكرا ميرسى بجد,thank
محتاج حد يذاكر معايا,peer grouping
اذاكر مع مين عشان اكون احسن,peer grouping
ساعدنى احخل مع ناس فى نفس المستوى,peer grouping
دخلنى مع ناس فى نفس المستوى ,peer grouping
دخلنى مع ناس فى مستوايا,peer grouping
عايز حد يشجعنى,peer grouping
عايز حد يذاكر  معايا,peer grouping
عايزه حد يساعدنى,peer grouping
عايزة حد يساعدنى اذاكر,peer grouping
عايزة حد يشجعنى اذاكر ,peer grouping
عايزة  حد يساعدنى ع المذاكرة,peer grouping
عايزة ناس تشجعنى وقت المذاكرة,peer grouping
محتاجه ناس تذاكر معايا,peer grouping
محتاجه جروب ادخل معاه,peer grouping
محتاجه جروب يشاركنى فى المذاكرة,peer grouping
محتاجه شوية ناس يساعدونى,peer grouping
